Id;Unit;DrugDescription;Factory;Composition;NarcoticCategory;Category;Issued;ValidUntil
48839;2;Yal, Lösung;Gebro Pharma AG;Synthetika human;C;C;04.05.88;20.08.93;14.11.17
48864;1;Vitamin B2 Streuli, Dragées;Streuli Pharma AG;Synthetika human;B;B;27.12.93;27.12.93;03.09.17
48865;1;Vitamin B2 Streuli, Injektionslösung;Streuli Pharma AG;Synthetika human;B;B;22.04.94;22.04.94;03.09.17
48869;1;Bexin, Hustentabletten;Spirig HealthCare AG;Synthetika human;B/C;B/C;23.11.87;23.11.87;11.04.17
48881;1;Zeller Herz- und Nerventropfen Konzentrat, flüssig;Max Zeller Söhne AG;Phytotherapeutika;D;D;31.10.88;31.10.88;19.07.17
48889;1;Colluspryl, collutoire nébuliseur;Sanofi SA;Synthetika human;D;D;19.02.93;19.02.93;29.10.18
48914;1;Carboticon, Kapseln;Interdelta S.A.;Synthetika human;D;D;30.12.88;30.12.88;07.11.17
48917;1;Retrovir AZT i.v., Infusionslösung;ViiV Healthcare GmbH;Synthetika human;A;A;12.07.96;12.07.96;01.11.20
48922;1;Cyclosol L.A. ad us. vet., Injektionslösung;Dr. E. Gräub AG;Tierarzneimittel;A;A;13.03.91;13.03.91;08.12.19
48923;1;Betaseptic, alkoholische Povidon-Iod-Lösung;Mundipharma Medical Company, Hamilton, Bermuda, Basel Branch;Synthetika human;D;D;27.11.87;27.11.87;14.10.17
48931;1;Condyline, Liniment;Takeda Pharma AG;Synthetika human;A;A;23.12.87;23.12.87;31.12.17
48942;2;Retrovir AZT 250 mg, Kapseln;ViiV Healthcare GmbH;Synthetika human;A;A;11.06.87;19.01.90;05.03.17
48943;1;Bricanyl Turbuhaler, Pulver mit Applikator;AstraZeneca AG;Synthetika human;B;B;10.12.87;10.12.87;04.04.17
48967;1;Nux vomica-Homaccord, homöopathische Injektionslösung;ebi-pharm ag;Homöopathika;B;B;30.06.88;30.06.88;25.11.17
48979;1;Sirdalud MR  6 mg, Kapseln;Novartis Pharma Schweiz AG;Synthetika human;B;B;06.06.88;06.06.88;31.12.17
48979;2;Sirdalud MR 12 mg, Kapseln;Novartis Pharma Schweiz AG;Synthetika human;B;B;06.06.88;06.06.88;31.12.17
48981;1;Revalid, capsules;Vifor Consumer Health SA;Synthetika human;D;D;01.06.88;01.06.88;31.12.17
48989;2;Aulin 100, granulé;Vifor SA;Synthetika human;B;B;27.11.91;27.11.91;09.02.21
48991;2;Aulin 100, comprimés;Vifor SA;Synthetika human;B;B;27.11.91;27.11.91;09.02.21
49002;1;Minirin 0,1 mg, Tabletten;Ferring AG;Synthetika human;B;B;24.01.89;24.01.89;17.12.17
49002;2;Minirin 0,2 mg, Tabletten;Ferring AG;Synthetika human;B;B;24.01.89;24.01.89;17.12.17
49008;3;Insulin NovoNordisk Insulatard HM 100 IE/mL Penfill 3, Injektionssuspension;Novo Nordisk Pharma AG;Biotechnologika;B;B;29.10.87;05.08.93;05.06.17
49023;1;Flamon-40, Lactab;Mepha Pharma AG;Synthetika human;B;B;15.12.87;15.12.87;31.12.17
49023;2;Flamon-80, Lactab;Mepha Pharma AG;Synthetika human;B;B;15.12.87;15.12.87;31.12.17
49023;3;Flamon-120, Lactab;Mepha Pharma AG;Synthetika human;B;B;15.12.87;15.12.87;31.12.17
49034;1;Stilex Fluigel, gel;Vifor Consumer Health SA;Synthetika human;D;D;16.12.88;16.12.88;05.10.20
49057;1;Ameu, capsules;Vifor Consumer Health SA;Synthetika human;D;D;23.06.89;23.06.89;23.09.18
49059;1;Tamoxifen Farmos 10 mg, Tabletten;Orion Pharma AG;Synthetika human;A;A;15.12.87;15.12.87;18.12.17
49059;2;Tamoxifen Farmos 20 mg, Tabletten;Orion Pharma AG;Synthetika human;A;A;15.12.87;15.12.87;18.12.17
49065;1;Flector EP 25 mg, granulare bustine;IBSA Institut Biochimique SA;Synthetika human;B;B;13.12.95;13.12.95;27.12.19
49065;2;Flector EP 50 mg, granulare bustine;IBSA Institut Biochimique SA;Synthetika human;B;B;13.12.95;13.12.95;27.12.19
49078;18;Eprex 1000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;24.07.98;27.11.18
49078;19;Eprex 2000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;27.07.98;27.11.18
49078;20;Eprex 3000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;24.07.98;27.11.18
49078;21;Eprex 4000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;24.07.98;27.11.18
49078;22;Eprex 10000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;24.07.98;27.11.18
49078;23;Eprex 2000 U/mL, Injektionslösung;Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;18.12.98;27.11.18
49078;24;Eprex 4000 U/mL, Injektionslösung;Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;18.12.98;27.11.18
49078;25;Eprex 10000 U/mL, Injektionslösung;Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;18.12.98;27.11.18
49078;36;Eprex 20000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;07.12.00;27.11.18
49078;37;Eprex 40000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;07.12.00;27.11.18
49078;38;Eprex 5000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;07.12.00;27.11.18
49078;39;Eprex 6000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;07.12.00;27.11.18
49078;41;Eprex 8000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;07.12.00;27.11.18
49078;43;Eprex 30000 U, Injektionslösung (Fertigspritzen);Janssen-Cilag AG;Biotechnologika;A;A;27.07.88;06.06.07;27.11.18
49100;1;Plantago-Homaccord, homöopathische Tropfen;ebi-pharm ag;Homöopathika;C;C;12.09.88;12.09.88;10.10.17
49102;1;Podophyllum compositum Heel, homöopathische Tropfen;ebi-pharm ag;Homöopathika;C;C;12.09.88;12.09.88;20.10.17
49104;1;Ranunculus-Homaccord, homöopathische Tropfen;ebi-pharm ag;Homöopathika;C;C;12.09.88;12.09.88;24.10.17
49105;1;Vomitusheel, homöopathische Tropfen;ebi-pharm ag;Homöopathika;C;C;12.09.88;12.09.88;31.10.17
49106;1;Stilnox, comprimés pelliculés sécables;Sanofi-Aventis (Suisse) SA;Synthetika human;B;B;29.03.90;29.03.90;14.12.16
49111;2;Fisherman's Friend Mint, pastilles;F. UHLMANN-EYRAUD SA;Phytotherapeutika;E;E;11.09.87;28.06.94;25.03.17
49133;1;Laxatone ad us.vet., Paste;Provet AG;Tierarzneimittel;D;D;23.02.88;23.02.88;31.12.17
49136;1;Maasol, Markierungsbesteck;GE Healthcare AG;Radiopharmazeutika;A;A;29.07.88;29.07.88;31.12.17
49137;1;Sandostatin 0,05 mg/mL, Injektionslösung;Novartis Pharma Schweiz AG;Biotechnologika;A;A;15.08.88;15.08.88;05.11.17
49137;2;Sandostatin 0,1 mg/mL, Injektionslösung;Novartis Pharma Schweiz AG;Biotechnologika;A;A;15.08.88;15.08.88;05.11.17
49137;3;Sandostatin 0,2 mg/mL, Injektionslösung;Novartis Pharma Schweiz AG;Biotechnologika;A;A;15.08.88;15.08.88;05.11.17
49137;4;Sandostatin 0,5 mg/mL, Injektionslösung;Novartis Pharma Schweiz AG;Biotechnologika;A;A;15.08.88;22.03.91;05.11.17
49147;2;Alpinamed Ruscovarin Venen Gel;Alpinamed AG;Synthetika human;D;D;18.07.89;31.10.03;13.11.18
49153;1;Tenderdol, gel;Vifor Consumer Health SA;Synthetika human;D;D;21.09.90;21.09.90;02.05.20
49156;1;Irfen-200, Lactab;Mepha Pharma AG;Synthetika human;B;B;08.11.88;08.11.88;17.12.18
49156;2;Irfen-400, Lactab;Mepha Pharma AG;Synthetika human;B;B;08.11.88;08.11.88;17.12.18
49156;3;Irfen-600, Lactab;Mepha Pharma AG;Synthetika human;B;B;08.11.88;08.11.88;17.12.18
49164;2;Panacur Tabletten 500 ad us.vet.;MSD Animal Health GmbH;Tierarzneimittel;B;B;19.06.89;07.08.97;30.10.17
49164;4;Panacur Tabletten 250 ad us.vet.;MSD Animal Health GmbH;Tierarzneimittel;B;B;19.06.89;20.04.12;30.10.17
49166;1;Plendil 5 mg, Retardtabletten;AstraZeneca AG;Synthetika human;B;B;30.06.88;30.06.88;04.12.17
49166;2;Plendil 10 mg, Retardtabletten;AstraZeneca AG;Synthetika human;B;B;30.06.88;30.06.88;04.12.17
49166;3;Plendil senior 2,5 mg, Retardtabletten;AstraZeneca AG;Synthetika human;B;B;30.06.88;04.06.93;04.12.17
49182;1;Pretuval Grippe & Erkältung, Filmtabletten;Bayer (Schweiz) AG;Synthetika human;C;C;30.12.87;30.12.87;18.03.17
49187;1;Octeniderm farblos, Lösung;Schülke & Mayr AG;Synthetika human;D;D;19.12.90;19.12.90;02.03.20
49188;1;Cymevene, Lyophilisat zur Herstellung einer Infusionslösung;Roche Pharma (Schweiz) AG;Synthetika human;A;A;19.12.88;19.12.88;29.03.19
49219;1;Soporin, Schlaftropfen;Herbamed AG;Phytotherapeutika;D;D;04.03.88;04.03.88;26.11.17
49225;1;Milvane, Dragées;Bayer (Schweiz) AG;Synthetika human;B;B;12.10.88;12.10.88;26.02.19
49227;1;Neotigason 10 mg, Kapseln;Actavis Switzerland AG;Synthetika human;A;A;19.03.90;19.03.90;19.07.17
49227;2;Neotigason 25 mg, Kapseln;Actavis Switzerland AG;Synthetika human;A;A;19.03.90;19.03.90;19.07.17
49230;1;Fenipic, Gel;NOVARTIS CONSUMER HEALTH SCHWEIZ AG;Synthetika human;D;D;06.06.88;06.06.88;08.08.17
49232;1;Opticrom-Allergo, collyre en ampoules;Sanofi-Aventis (Suisse) SA;Synthetika human;C;C;24.06.88;24.06.88;05.09.17
49236;1;Carbamid Emulsion Widmer;Louis Widmer AG;Synthetika human;D;D;18.05.88;18.05.88;24.09.17
49248;1;Terralon 20% LA ad us.vet., Injektionslösung;Virbac (Switzerland) AG;Tierarzneimittel;A;A;02.06.89;02.06.89;30.10.18
49254;1;Vital-Colistin 125 ad us.vet., Arzneimittelvormischung;Vital AG;Tierarzneimittel;A;A;28.04.88;28.04.88;10.11.17
49254;2;Vital-Colistin 500 ad us.vet., Arzneimittelvormischug;Vital AG;Tierarzneimittel;A;A;28.04.88;28.04.88;10.11.17
49254;3;Vital-Colistin 2500 ad us.vet., Arzneimittelvormischung;Vital AG;Tierarzneimittel;A;A;28.04.88;12.05.10;10.11.17
49259;1;Corotrop, solution injectable;Sanofi-Aventis (Suisse) SA;Synthetika human;B;B;17.01.92;17.01.92;29.04.17
49260;1;Tandozin ad us.vet., Injektionslösung;Dr. E. Gräub AG;Tierarzneimittel;A;A;19.12.91;19.12.91;27.08.17
49287;1;Passelyt, Nerventropfen;Gebro Pharma AG;Phytotherapeutika;D;D;21.04.89;21.04.89;01.10.17
49290;1;Destrobac, Tinktur ungefärbt;Gebro Pharma AG;Synthetika human;D;D;23.09.88;23.09.88;10.10.17
49290;2;Destrobac, Tinktur gefärbt;Gebro Pharma AG;Synthetika human;D;D;23.09.88;23.09.88;10.10.17
49297;1;Zestril 20 mg, Tabletten;AstraZeneca AG;Synthetika human;B;B;08.05.89;08.05.89;21.03.19
49297;2;Zestril 5 mg, Tabletten;AstraZeneca AG;Synthetika human;B;B;08.05.89;08.05.89;21.03.19
49297;3;Zestril 10 mg, Tabletten;AstraZeneca AG;Synthetika human;B;B;08.05.89;13.12.96;21.03.19
49297;4;Zestril 30 mg, Tabletten;AstraZeneca AG;Synthetika human;B;B;08.05.89;14.06.00;21.03.19
49298;1;Monuril 3 g, granulare;Zambon Svizzera SA;Synthetika human;A;A;02.06.88;02.06.88;12.11.17
49298;2;Monuril 2 g, granulare;Zambon Svizzera SA;Synthetika human;A;A;02.06.88;02.06.88;12.11.17
49302;2;Similasan Heuschnupfen Nr. 3, Tabletten;Similasan AG;Homöopathika;D;D;29.01.88;05.03.08;12.07.17
49313;2;Lapidar 9, Kapseln;Kräuterpfarrer Künzle AG;Phytotherapeutika;D;D;08.08.88;15.03.01;07.10.17
49317;1;Kafa 250, suppositoires;Vifor Consumer Health SA;Synthetika human;D;D;20.02.89;20.02.89;23.10.17
49317;2;Kafa 125, suppositoires;Vifor Consumer Health SA;Synthetika human;D;D;20.02.89;20.02.89;23.10.17
49324;1;Pentoxi-Mepha 400, Retardtabletten;Mepha Pharma AG;Synthetika human;B;B;30.06.88;30.06.88;13.08.17
49329;1;Similasan Insektenstiche, Spray;Similasan AG;Homöopathika;D;D;26.05.88;26.05.88;12.07.17
49331;1;Metaginkgo, homöopathische Tropfen;metapharmaka GmbH;Homöopathika;C;C;29.02.88;29.02.88;03.12.17
49339;2;Targocid 200 mg i.v./i.m., lyophilisat et solvant;Sanofi-Aventis (Suisse) SA;Synthetika human;A;A;11.09.90;11.09.90;31.10.17
49339;3;Targocid 400 mg i.v./i.m., lyophilisat et solvant;Sanofi-Aventis (Suisse) SA;Synthetika human;A;A;11.09.90;11.09.90;31.10.17
49358;1;UltratechneKow FM, Generator;Mallinckrodt Schweiz AG;Generator;A;A;12.06.90;12.06.90;01.11.19
49366;1;Voltaren, Tropfen;Novartis Pharma Schweiz AG;Synthetika human;B;B;21.06.88;21.06.88;18.12.18
49379;1;Nizoral, Shampoo;Janssen-Cilag AG;Synthetika human;B;B;17.12.87;17.12.87;25.10.17
49381;1;Coridil 90 retard, Tabletten;Sandoz Pharmaceuticals AG;Synthetika human;B;B;20.09.89;20.09.89;02.12.17
49384;1;Gentaseptin Metritisinjektor ad us.vet., Lösung;VETOQUINOL AG Business Building;Tierarzneimittel;A;A;13.07.89;13.07.89;06.05.19
49389;1;Robinul-Neostigmine, soluzione iniettabile;Sintetica SA;Synthetika human;B;B;09.04.90;09.04.90;05.07.19
49390;3;Mefenacid, Filmtabletten;Streuli Pharma AG;Synthetika human;B;B;21.04.89;27.01.09;05.10.18
49391;2;Mefenacid, Kapseln;Streuli Pharma AG;Synthetika human;B;B;21.04.89;25.11.93;05.10.18
49392;1;Mefenacid 125 mg, Suppositorien;Streuli Pharma AG;Synthetika human;B;B;21.04.89;21.04.89;05.10.18
49392;2;Mefenacid 500 mg, Suppositorien;Streuli Pharma AG;Synthetika human;B;B;21.04.89;21.04.89;05.10.18
49404;1;Calcium-Sandoz f citron, Instant-Pulver;Sandoz Pharmaceuticals AG;Synthetika human;D;D;31.03.88;31.03.88;12.06.17
49404;2;Calcium-Sandoz f nature, Instant-Pulver;Sandoz Pharmaceuticals AG;Synthetika human;D;D;31.03.88;31.03.88;12.06.17
49404;3;Calcium-Sandoz ff nature, Instant-Pulver;Sandoz Pharmaceuticals AG;Synthetika human;D;D;31.03.88;18.12.91;12.06.17
49404;4;Calcium-Sandoz ff citron, Instant-Pulver;Sandoz Pharmaceuticals AG;Synthetika human;D;D;31.03.88;02.11.93;12.06.17
49406;1;Primofenac, Filmtabletten;Streuli Pharma AG;Synthetika human;B;B;29.12.89;29.12.89;25.02.18
49407;1;Primofenac Retard, Filmtabletten;Streuli Pharma AG;Synthetika human;B;B;18.06.90;18.06.90;25.02.18
49413;3;Chloropal mite ad us.vet., Suspension;Dr. E. Gräub AG;Tierarzneimittel;A;A;25.07.88;17.02.09;05.11.17
49413;4;Chloropal forte ad us.vet., Suspension;Dr. E. Gräub AG;Tierarzneimittel;A;A;25.07.88;17.02.09;05.11.17
49414;1;Vibramycin Akne, Tabs;Pfizer AG;Synthetika human;A;A;23.12.87;23.12.87;18.12.16
49416;1;Lubexyl, Suspension;Permamed AG;Synthetika human;C;C;15.09.89;15.09.89;12.12.17
49417;1;Burgerstein EPA-Kapseln 500mg, Kapseln;Antistress Aktiengesellschaft für Gesundheitsschutz;Synthetika human;D;D;23.05.90;23.05.90;07.12.20
49419;1;Flamon-120 retard, Opticaps;Mepha Pharma AG;Synthetika human;B;B;21.12.88;21.12.88;14.10.17
49433;1;Kenergon, spray;Laboratoires Magistra SA;Synthetika human;D;D;06.03.92;06.03.92;27.09.21
49436;1;Sangerol mint, Lutschtabletten;Melisana AG;Synthetika human;D;D;29.07.88;29.07.88;05.12.17
49437;1;Sangerol mint, Spüllösung;Melisana AG;Synthetika human;D;D;29.07.88;29.07.88;28.11.17
49451;1;Chorulon 1500 ad us.vet., Injektionspräparat;MSD Animal Health GmbH;Tierarzneimittel;B;B;02.06.88;02.06.88;03.12.17
49451;2;Chorulon 5000 ad us.vet., Injektionspräparat;MSD Animal Health GmbH;Tierarzneimittel;B;B;02.06.88;05.04.91;03.12.17
49454;2;Cephoral 400 mg, Filmtabletten;Astellas Pharma AG;Synthetika human;A;A;23.06.92;22.09.98;19.06.17
49456;1;Clexane 20 mg/0.2 ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;31.08.88;13.11.18
49456;2;Clexane 40 mg/0.4 ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;31.08.88;13.11.18
49456;3;Clexane 100 mg/ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;19.10.93;13.11.18
49456;4;Clexane 60 mg/0.6 ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;07.02.97;13.11.18
49456;5;Clexane 80 mg/0.8 ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;07.02.97;13.11.18
49456;7;Clexane 120 mg/0.8 ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;28.12.99;13.11.18
49456;8;Clexane 150 mg/ml, solution injectable;Sanofi-Aventis (Suisse) SA;Biotechnologika;B;B;31.08.88;28.12.99;13.11.18
49457;1;Prostatonin, capsule;Ginsana SA;Phytotherapeutika;D;D;08.11.88;08.11.88;17.10.17
49460;2;Zinat 250 mg, Filmtabletten;GlaxoSmithKline AG;Synthetika human;A;A;22.12.88;22.12.88;24.04.17
49460;3;Zinat 500 mg, Filmtabletten;GlaxoSmithKline AG;Synthetika human;A;A;22.12.88;22.12.88;24.04.17
49482;1;Iruxol mono, Salbe;Smith & Nephew AG;Biotechnologika;C;C;23.12.88;23.12.88;29.12.17
49483;1;Cephoral, Pulver zur Herstellung einer Suspension;Astellas Pharma AG;Synthetika human;A;A;23.06.92;23.06.92;19.06.17
49493;1;Acetalgin 125 mg, Suppositorien;Streuli Pharma AG;Synthetika human;D;D;17.04.89;17.04.89;23.07.17
49493;2;Acetalgin 250 mg, Suppositorien;Streuli Pharma AG;Synthetika human;D;D;17.04.89;17.04.89;23.07.17
49493;3;Acetalgin 500 mg, Suppositorien;Streuli Pharma AG;Synthetika human;D;D;17.04.89;17.04.89;23.07.17
49494;1;ASA-Tabs, Tabletten;Streuli Pharma AG;Synthetika human;B/D;B/D;29.09.94;29.09.94;30.10.18
49498;3;Ricola Kräuter, Kräuterbonbons ohne Zucker, 2,5 g;Ricola AG;Phytotherapeutika;E;E;05.09.88;28.10.98;28.10.17
49498;4;Ricola Kräuter, Kräuterbonbons ohne Zucker, 3,6 g;Ricola AG;Phytotherapeutika;E;E;05.09.88;28.10.98;28.10.17
49499;2;Ricola Zitronenmelisse, Kräuterbonbons ohne Zucker, 2,5 g;Ricola AG;Phytotherapeutika;E;E;07.10.88;03.10.98;05.09.17
49499;3;Ricola Zitronenmelisse, Kräuterbonbons ohne Zucker, 3,6 g;Ricola AG;Phytotherapeutika;E;E;07.10.88;03.05.05;05.09.17
49503;1;Diflucan 50 mg, Kapseln;Pfizer AG;Synthetika human;B;B;15.09.89;15.09.89;02.12.18
49503;2;Diflucan 150 mg, Kapseln;Pfizer AG;Synthetika human;B;B;15.09.89;15.09.89;02.12.18
49503;3;Diflucan 200 mg, Kapseln;Pfizer AG;Synthetika human;B;B;15.09.89;15.09.89;02.12.18
49504;1;Livial, Tabletten;MSD Merck Sharp & Dohme AG;Synthetika human;B;B;18.02.98;18.02.98;22.02.19
49506;2;Myrtaven, capsule;IBSA Institut Biochimique SA;Synthetika human;B;B;05.09.88;12.05.97;06.11.17
49508;1;Telebrix Gastro, wässerige Lösung;Guerbet AG;Synthetika human;B;B;18.10.88;18.10.88;08.12.18
49526;2;Aspirin, Kautabletten;Bayer (Schweiz) AG;Synthetika human;D;D;03.11.88;24.03.00;09.05.17
49533;1;Halset, Lutschtabletten;Gebro Pharma AG;Synthetika human;D;D;18.11.88;18.11.88;11.12.18
49537;1;Weleda Euphrasia-Augentropfen, anthroposophisches Arzneimittel;Weleda AG;Anthroposophika;D;D;11.09.89;11.09.89;23.09.17
49537;2;Weleda Euphrasia-Augentropfen, Monodosen, anthroposophisches Arzneimittel;Weleda AG;Anthroposophika;D;D;11.09.89;11.09.08;23.09.17
49541;1;Chronomintic ad us.vet., Bolus;Virbac (Switzerland) AG;Tierarzneimittel;B;B;15.03.89;15.03.89;26.11.18
49556;2;Ketanarkon 100 ad us.vet., Injektionslösung;Streuli Pharma AG;Tierarzneimittel;B;B;15.12.88;15.12.88;18.11.18
49560;1;Weleda Calendula-Essenz, anthroposophisches Arzneimittel;Weleda AG;Anthroposophika;D;D;09.11.88;09.11.88;05.09.17
49576;2;Brevibloc 100 mg, Injektionslösung;Baxter AG;Synthetika human;B;B;20.03.90;19.06.91;08.03.19
49576;3;Brevibloc 2,5 g/250 ml, Infusionslösung;Baxter AG;Synthetika human;B;B;20.03.90;30.09.02;08.03.19
49577;1;Dilzem RR, Filmtabletten;Pfizer AG;Synthetika human;B;B;29.12.87;29.12.87;14.03.19
49585;1;Pamed-C, Brausetabletten;Permamed AG;Synthetika human;D;D;18.07.88;18.07.88;31.12.17
49586;1;Mycodermil, crème;Vifor Consumer Health SA;Synthetika human;C;C;27.07.92;27.07.92;29.03.19
49587;2;Mycodermil, poudre;Vifor Consumer Health SA;Synthetika human;C;C;27.07.92;27.07.92;29.03.19
49588;1;Mycodermil, spray;Vifor Consumer Health SA;Synthetika human;C;C;27.07.92;27.07.92;29.03.19
49589;1;Ubistesin, Injektionslösung;3M (Schweiz) GmbH;Synthetika human;B;B;26.10.88;26.10.88;31.12.17
49589;2;Ubistesin forte, Injektionslösung;3M (Schweiz) GmbH;Synthetika human;B;B;26.10.88;26.10.88;31.12.17
49589;3;Ubistesin mite, Injektionslösung;3M (Schweiz) GmbH;Synthetika human;B;B;26.10.88;17.11.09;31.12.17
49600;1;Vagifem 25 µg, Vaginaltabletten;Novo Nordisk Pharma AG;Synthetika human;B;B;20.06.88;20.06.88;20.12.17
49600;2;Vagifem 10 µg, Vaginaltabletten;Novo Nordisk Pharma AG;Synthetika human;B;B;20.06.88;21.12.12;20.12.17
49603;1;Dihydergot, Nasalspray;Pro Farma AG;Synthetika human;B;B;03.08.89;03.08.89;18.03.19
49606;2;Solmucol, collirio;IBSA Institut Biochimique SA;Synthetika human;B;B;12.06.90;12.06.90;25.01.19
49610;1;Sporanox, Kapseln;Janssen-Cilag AG;Synthetika human;B;B;19.06.92;19.06.92;19.03.17
49615;3;Drontal flavour Plus ad us.vet., Tabletten;Provet AG;Tierarzneimittel;B;B;15.12.88;13.01.06;29.11.17
49615;5;Drontal flavour Plus XL ad us.vet., Tabletten;Provet AG;Tierarzneimittel;B;B;15.12.88;17.12.09;29.11.17
49619;1;Atenil, Filmtabletten;Sandoz Pharmaceuticals AG;Synthetika human;B;B;28.04.89;28.04.89;14.03.19
49619;2;Atenil mite, Filmtabletten;Sandoz Pharmaceuticals AG;Synthetika human;B;B;28.04.89;28.04.89;14.03.19
49619;4;Atenil submite, Filmtabletten;Sandoz Pharmaceuticals AG;Synthetika human;B;B;28.04.89;11.10.96;14.03.19
49620;1;Excipial U Lipolotio, Emulsion;Galderma Schweiz AG;Synthetika human;D;D;03.11.88;03.11.88;11.12.18
49620;2;Excipial U Lipolotio ohne Parfum, Emulsion;Galderma Schweiz AG;Synthetika human;D;D;03.11.88;26.05.11;11.12.18
49621;1;Supposte di glicerina Fonte SA, supposte per adulti;Fonte SA;Synthetika human;D;D;20.01.89;20.01.89;25.11.18
49623;1;Contusin, Gel;Herbamed AG;Phytotherapeutika;D;D;03.05.93;03.05.93;26.11.17
49626;1;China Balsam Shangshi (weiss), Salbe;Panax Import F. Ruckstuhl & Co.;Synthetika human;D;D;05.01.90;05.01.90;02.09.17
49632;1;Ipocol sine saccharo, polvere;Lagap SA;Synthetika human;B;B;08.12.88;08.12.88;14.10.17
49638;1;TechneScan HDP, Markierungsbesteck;Mallinckrodt Schweiz AG;Radiopharmazeutika;A;A;25.06.92;25.06.92;09.03.18
49639;1;TechneScan PYP, Markierungsbesteck;Mallinckrodt Schweiz AG;Radiopharmazeutika;A;A;25.06.92;25.06.92;09.03.18
49640;1;Omida, homöopathische Schlafchügeli für Kinder;Omida AG;Homöopathika;D;D;19.09.88;19.09.88;26.08.17
49669;2;Brufen, Brausegranulat;BGP Products GmbH;Synthetika human;B;B;16.12.88;03.05.11;25.02.18
49670;2;Rennie Spearmint, Lutschtabletten;Bayer (Schweiz) AG;Synthetika human;D;D;25.05.93;25.05.93;19.09.17
49673;1;Traumalix Dolo Gel 5 %, Gel;Drossapharm AG;Synthetika human;C;C;25.02.93;25.02.93;22.08.17
49673;2;Traumalix Dolo Gel 10 %, Gel;Drossapharm AG;Synthetika human;C;C;25.02.93;25.02.93;22.08.17
49676;2;Prednitop 0,25 %, Crème;BGP Products GmbH;Synthetika human;B;B;20.07.90;20.07.90;15.02.19
49678;1;Prednitop 0,25 %, Lösung mit Schaumapplikator;BGP Products GmbH;Synthetika human;B;B;20.07.90;20.07.90;15.02.19
49679;2;Prednitop 0,25 %, Salbe;BGP Products GmbH;Synthetika human;B;B;20.07.90;20.07.90;15.02.19
49680;3;Bayticol Pour-on ad us.vet., Lösung;Provet AG;Tierarzneimittel;B;B;13.05.91;15.04.08;14.04.18
49681;1;Baytril 2.5% ad us.vet., Injektionslösung;Provet AG;Tierarzneimittel;A;A;23.08.89;23.08.89;31.12.17
49681;2;Baytril 10% ad us.vet., Injektionslösung;Provet AG;Tierarzneimittel;A;A;23.08.89;07.06.90;31.12.17
49681;3;Baytril 5% ad us.vet., Injektionslösung;Provet AG;Tierarzneimittel;A;A;23.08.89;15.07.92;31.12.17
49682;1;Baytril 0.5% ad us.vet., Lösung;Provet AG;Tierarzneimittel;A;A;07.06.90;07.06.90;27.05.19
49682;2;Baytril 2.5% ad us.vet., Lösung;Provet AG;Tierarzneimittel;A;A;07.06.90;07.06.90;27.05.19
49683;1;Baytril flavour 15 mg ad us.vet., Tabletten;Provet AG;Tierarzneimittel;A;A;27.04.90;27.04.90;31.12.17
49683;2;Baytril flavour 50 mg ad us.vet., Tabletten;Provet AG;Tierarzneimittel;A;A;27.04.90;27.04.90;31.12.17
49683;3;Baytril flavour 150 mg ad us.vet., Tabletten;Provet AG;Tierarzneimittel;A;A;27.04.90;27.04.90;31.12.17
49683;7;Baytril flavour 250 mg ad us.vet., Tabletten;Provet AG;Tierarzneimittel;A;A;27.04.90;22.12.09;31.12.17
49685;1;Glucose 5%-NaCl 0,9% 2:1 Fresenius, Infusionslösung;Fresenius Kabi (Schweiz) AG;Synthetika human;B;B;28.11.88;28.11.88;16.12.17
49688;1;Neocapil 2%, Lösung;Galderma Schweiz AG;Synthetika human;C;C;11.09.90;11.09.90;18.12.16
